headline,pub_date,source,query,polarity,sentiment
Supreme Court Backs White House on Jerusalem Passport Dispute,Jun 2015,The New York Times,US Embassy move to Jerusalem,0.1779,positive
"Defying Trump, U.N. General Assembly Condemns U.S. Decree on Jerusalem",Dec 2017,The New York Times,US Embassy move to Jerusalem,-0.5106,negative
"Cuomo, in Whirlwind Tour of Jerusalem, Shows Support for Israel",Mar 2017,The New York Times,US Embassy move to Jerusalem,0.4019,positive
Nearly Every Former U.S. Ambassador to Israel Disagrees With Trump’s Jerusalem Decision,Dec 2017,The New York Times,US Embassy move to Jerusalem,-0.3182,negative
"US opens embassy in Jerusalem, recognizing city as 'true capital' of Israel",,Fox News,US Embassy move to Jerusalem,0.4215,positive
"Trump officially recognizes Jerusalem as Israel's capital, orders embassy move for US",,Fox News,US Embassy move to Jerusalem,0.0,neutral
Trump delays move of US embassy to Jerusalem,,Fox News,US Embassy move to Jerusalem,0.0,neutral
Why Trump's promise to move US Embassy to Jerusalem is so controversial,,Fox News,US Embassy move to Jerusalem,-0.0171,negative
Penny Nance: Here is why the US Embassy move to Jerusalem is so important to American Christians,,Fox News,US Embassy move to Jerusalem,0.3327,positive
Rep. Marsha Blackburn: US Embassy move to Jerusalem signals that America stands with Israel,,Fox News,US Embassy move to Jerusalem,0.0,neutral
"Trump to recognize Jerusalem as Israel's capital, forge ahead with moving US Embassy",,Fox News,US Embassy move to Jerusalem,0.0,neutral
"After US Embassy move, Trump weighs Jerusalem consulate changes",,Fox News,US Embassy move to Jerusalem,0.0,neutral
"US leases space at shuttered Jerusalem hotel, disputes embassy move connection",,Fox News,US Embassy move to Jerusalem,-0.2732,negative
Obama suggests that moving US Embassy to Jerusalem could be 'explosive',,Fox News,US Embassy move to Jerusalem,0.0,neutral
Netanyahu says US Embassy to move to Jerusalem this year,,Fox News,US Embassy move to Jerusalem,0.0,neutral
"Michael Goodwin: Bloodshed over US Embassy move in Jerusalem is on Hamas, not Trump",,Fox News,US Embassy move to Jerusalem,0.0,neutral
Biden's opposition to moving Israel embassy in direct conflict with past statements,,Fox News,US Embassy move to Jerusalem,-0.3182,negative
"Guatemala follows in Trump's footsteps, announces embassy move to Jerusalem",,Fox News,US Embassy move to Jerusalem,0.0,neutral
Dems blast Trump for Jerusalem decision despite past support,,Fox News,US Embassy move to Jerusalem,-0.3089,negative
Trump administration gears up for Monday's opening of US embassy in Jerusalem,,Fox News,US Embassy move to Jerusalem,0.0,neutral
Amb. John Bolton: America's embassy in Israel should be moved to Jerusalem - NOW,,Fox News,US Embassy move to Jerusalem,0.0,neutral
Trump sees moving US Embassy in Israel to Jerusalem as 'big priority',,Fox News,US Embassy move to Jerusalem,0.0,neutral
Obama punts again on moving US embassy to Jerusalem - will 2017 end stalemate?,,Fox News,US Embassy move to Jerusalem,0.0,neutral
President Trump signs waiver delaying US Embassy move to Jerusalem,,Fox News,US Embassy move to Jerusalem,0.0,neutral
Ambassador David Friedman: Trump kept this key promise on Israel exactly 2 years ago - Unlike his predecessors,,Fox News,US Embassy move to Jerusalem,0.3182,positive
Sen. Joe Lieberman: Why US Embassy Jerusalem move happened and why it matters,,Fox News,US Embassy move to Jerusalem,0.0258,positive
"US Embassy in Israel issues travel warning to Jerusalem, West Bank, Gaza after settlement shift",,Fox News,US Embassy move to Jerusalem,-0.34,negative
"US Embassy in Jerusalem to open in May, officials say",,Fox News,US Embassy move to Jerusalem,0.0,neutral
Palestinian protesters killed ahead of US Embassy opening in Jerusalem,,Fox News,US Embassy move to Jerusalem,-0.7506,negative
GOP Senators introduce bill to move US Embassy from Tel Aviv to Jerusalem,,Fox News,US Embassy move to Jerusalem,0.0,neutral
Muslim states warn US against moving embassy to Jerusalem,,Fox News,US Embassy move to Jerusalem,-0.1027,negative
"Turkey recalls ambassadors to US, Israel over embassy move",,Fox News,US Embassy move to Jerusalem,0.0,neutral
A look at the stakes if US moves Israel embassy to Jerusalem,,Fox News,US Embassy move to Jerusalem,0.0,neutral
More countries following Trump in moving Israel embassy to Jerusalem,,Fox News,US Embassy move to Jerusalem,0.0,neutral
"US Consulate in Jerusalem that served Palestinians closed, says it's not signal of policy change",,Fox News,US Embassy move to Jerusalem,0.0,neutral
"US Embassy in Jerusalem to open next year, Pence says",,Fox News,US Embassy move to Jerusalem,0.0,neutral
US embassy jubilantly opens in Jerusalem as Gaza rages,,Fox News,US Embassy move to Jerusalem,-0.4767,negative
"In nod to Trump, Guatemala sets Jerusalem embassy move two days after US",,Fox News,US Embassy move to Jerusalem,0.0,neutral
Palestinians seek weekend prayers to protest US Embassy move,,Fox News,US Embassy move to Jerusalem,-0.25,negative
Deal With It: Jerusalem is Israel's Capital,,HonestReporting,US Embassy move to Jerusalem,0.0,neutral
Palestinians Trying to Breach Border as US Opens Jerusalem Embassy,,HonestReporting,US Embassy move to Jerusalem,0.0,neutral
Saeb Erekat 'Threatens' Violence Over US Embassy Move,,HonestReporting,US Embassy move to Jerusalem,-0.6249,negative
Trump to Recognize Jerusalem as Israeli Capital?,,HonestReporting,US Embassy move to Jerusalem,0.0,neutral
Trump to Recognize Jerusalem's Capital 'Reality',,HonestReporting,US Embassy move to Jerusalem,0.0,neutral
Does the Media Really Understand the Gaza Violence?,,HonestReporting,US Embassy move to Jerusalem,-0.6249,negative
What's Really Behind Trashing of Kerem Shalom?,,HonestReporting,US Embassy move to Jerusalem,0.0,neutral
Trump Delays Decision on Recognizing Jerusalem,,HonestReporting,US Embassy move to Jerusalem,0.0,neutral
"Clashes Paused as Gaza Buries Dead, World Slams Israel",,HonestReporting,US Embassy move to Jerusalem,-0.6486,negative
Palestinians Take Jerusalem Fight to UN General Assembly,,HonestReporting,US Embassy move to Jerusalem,-0.3818,negative
Palestinian Terror Group To Enter German Politics?,,HonestReporting,US Embassy move to Jerusalem,-0.5267,negative
US embassy move to Jerusalem would spark 'fanaticism and violence' and end US status as negotiator - Arab leaders,,Mondoweiss,US Embassy move to Jerusalem,-0.4939,negative
Anyone who says Jerusalem embassy move was painless doesn't think Gazans are human beings,,Mondoweiss,US Embassy move to Jerusalem,0.296,positive
We have been ignored': Palestinian diaspora in Guatemala responds to Jerusalem embassy move,,Mondoweiss,US Embassy move to Jerusalem,0.0,neutral
Live Blog: Massacre in Gaza as US and Israel celebrate embassy move to Jerusalem,,Mondoweiss,US Embassy move to Jerusalem,0.5719,positive
"Trump intends to move US embassy to Jerusalem, Palestinian president says",,Mondoweiss,US Embassy move to Jerusalem,0.0,neutral
U.S. embassy to stay in Tel Aviv as White House shuts down rumors of imminent Jerusalem move,,Mondoweiss,US Embassy move to Jerusalem,0.0,neutral
Israeli gov't doesn't really want US to move embassy to Jerusalem - Foxman,,Mondoweiss,US Embassy move to Jerusalem,-0.1126,negative
Trump's vow to move embassy to Jerusalem is now a 'decision-making process',,Mondoweiss,US Embassy move to Jerusalem,0.0,neutral
Trump 'promise' to move US embassy to Jerusalem stirs international furor,,Mondoweiss,US Embassy move to Jerusalem,0.0,neutral
Bachmann has secured funds from private donor to move US embassy to Jerusalem,,Mondoweiss,US Embassy move to Jerusalem,0.4019,positive
"Palestinian Christians issue a cry for hope, to end 'exclusivity and apartheid'",,Mondoweiss,US Embassy move to Jerusalem,-0.0516,negative
US Palestinians release list of 2020 principles for 'a political world that too often ignores our voices',,Mondoweiss,US Embassy move to Jerusalem,-0.2732,negative
"Trump has a 'magic moment' in June 2017 to move the US embassy to Jerusalem, Israel lobbyist tells NY synagogue",,Mondoweiss,US Embassy move to Jerusalem,0.0,neutral
"Sanders calls Netanyahu a 'reactionary racist', says he'll consider moving US embassy back to Tel Aviv",,Mondoweiss,US Embassy move to Jerusalem,0.0,neutral
