headline,pub_date,source,query
Why Trump's promise to move US Embassy to Jerusalem is so controversial,,Fox News,US Embassy move to Jerusalem
Penny Nance: Here is why the US Embassy move to Jerusalem is so important to American Christians,,Fox News,US Embassy move to Jerusalem
Rep. Marsha Blackburn: US Embassy move to Jerusalem signals that America stands with Israel,,Fox News,US Embassy move to Jerusalem
"Trump to recognize Jerusalem as Israel's capital, forge ahead with moving US Embassy",,Fox News,US Embassy move to Jerusalem
"After US Embassy move, Trump weighs Jerusalem consulate changes",,Fox News,US Embassy move to Jerusalem
"US leases space at shuttered Jerusalem hotel, disputes embassy move connection",,Fox News,US Embassy move to Jerusalem
Obama suggests that moving US Embassy to Jerusalem could be 'explosive',,Fox News,US Embassy move to Jerusalem
Netanyahu says US Embassy to move to Jerusalem this year,,Fox News,US Embassy move to Jerusalem
"Michael Goodwin: Bloodshed over US Embassy move in Jerusalem is on Hamas, not Trump",,Fox News,US Embassy move to Jerusalem
Biden's opposition to moving Israel embassy in direct conflict with past statements,,Fox News,US Embassy move to Jerusalem
"Guatemala follows in Trump's footsteps, announces embassy move to Jerusalem",,Fox News,US Embassy move to Jerusalem
Dems blast Trump for Jerusalem decision despite past support,,Fox News,US Embassy move to Jerusalem
Trump administration gears up for Monday's opening of US embassy in Jerusalem,,Fox News,US Embassy move to Jerusalem
Amb. John Bolton: America's embassy in Israel should be moved to Jerusalem - NOW,,Fox News,US Embassy move to Jerusalem
Trump sees moving US Embassy in Israel to Jerusalem as 'big priority',,Fox News,US Embassy move to Jerusalem
Obama punts again on moving US embassy to Jerusalem - will 2017 end stalemate?,,Fox News,US Embassy move to Jerusalem
President Trump signs waiver delaying US Embassy move to Jerusalem,,Fox News,US Embassy move to Jerusalem
Ambassador David Friedman: Trump kept this key promise on Israel exactly 2 years ago - Unlike his predecessors,,Fox News,US Embassy move to Jerusalem
Sen. Joe Lieberman: Why US Embassy Jerusalem move happened and why it matters,,Fox News,US Embassy move to Jerusalem
"US Embassy in Israel issues travel warning to Jerusalem, West Bank, Gaza after settlement shift",,Fox News,US Embassy move to Jerusalem
"US Embassy in Jerusalem to open in May, officials say",,Fox News,US Embassy move to Jerusalem
Palestinian protesters killed ahead of US Embassy opening in Jerusalem,,Fox News,US Embassy move to Jerusalem
GOP Senators introduce bill to move US Embassy from Tel Aviv to Jerusalem,,Fox News,US Embassy move to Jerusalem
Muslim states warn US against moving embassy to Jerusalem,,Fox News,US Embassy move to Jerusalem
"Turkey recalls ambassadors to US, Israel over embassy move",,Fox News,US Embassy move to Jerusalem
A look at the stakes if US moves Israel embassy to Jerusalem,,Fox News,US Embassy move to Jerusalem
More countries following Trump in moving Israel embassy to Jerusalem,,Fox News,US Embassy move to Jerusalem
"US Consulate in Jerusalem that served Palestinians closed, says it's not signal of policy change",,Fox News,US Embassy move to Jerusalem
"US Embassy in Jerusalem to open next year, Pence says",,Fox News,US Embassy move to Jerusalem
US embassy jubilantly opens in Jerusalem as Gaza rages,,Fox News,US Embassy move to Jerusalem
"In nod to Trump, Guatemala sets Jerusalem embassy move two days after US",,Fox News,US Embassy move to Jerusalem
Palestinians seek weekend prayers to protest US Embassy move,,Fox News,US Embassy move to Jerusalem
Deal With It: Jerusalem is Israel's Capital,,HonestReporting,US Embassy move to Jerusalem
Palestinians Trying to Breach Border as US Opens Jerusalem Embassy,,HonestReporting,US Embassy move to Jerusalem
Saeb Erekat 'Threatens' Violence Over US Embassy Move,,HonestReporting,US Embassy move to Jerusalem
Trump to Recognize Jerusalem as Israeli Capital?,,HonestReporting,US Embassy move to Jerusalem
Trump to Recognize Jerusalem's Capital 'Reality',,HonestReporting,US Embassy move to Jerusalem
Does the Media Really Understand the Gaza Violence?,,HonestReporting,US Embassy move to Jerusalem
What's Really Behind Trashing of Kerem Shalom?,,HonestReporting,US Embassy move to Jerusalem
Trump Delays Decision on Recognizing Jerusalem,,HonestReporting,US Embassy move to Jerusalem
"Clashes Paused as Gaza Buries Dead, World Slams Israel",,HonestReporting,US Embassy move to Jerusalem
Palestinians Take Jerusalem Fight to UN General Assembly,,HonestReporting,US Embassy move to Jerusalem
Palestinian Terror Group To Enter German Politics?,,HonestReporting,US Embassy move to Jerusalem
US embassy move to Jerusalem would spark 'fanaticism and violence' and end US status as negotiator - Arab leaders,,Mondoweiss,US Embassy move to Jerusalem
Anyone who says Jerusalem embassy move was painless doesn't think Gazans are human beings,,Mondoweiss,US Embassy move to Jerusalem
We have been ignored': Palestinian diaspora in Guatemala responds to Jerusalem embassy move,,Mondoweiss,US Embassy move to Jerusalem
Live Blog: Massacre in Gaza as US and Israel celebrate embassy move to Jerusalem,,Mondoweiss,US Embassy move to Jerusalem
"Trump intends to move US embassy to Jerusalem, Palestinian president says",,Mondoweiss,US Embassy move to Jerusalem
U.S. embassy to stay in Tel Aviv as White House shuts down rumors of imminent Jerusalem move,,Mondoweiss,US Embassy move to Jerusalem
Israeli gov't doesn't really want US to move embassy to Jerusalem - Foxman,,Mondoweiss,US Embassy move to Jerusalem
Trump's vow to move embassy to Jerusalem is now a 'decision-making process',,Mondoweiss,US Embassy move to Jerusalem
Trump 'promise' to move US embassy to Jerusalem stirs international furor,,Mondoweiss,US Embassy move to Jerusalem
Bachmann has secured funds from private donor to move US embassy to Jerusalem,,Mondoweiss,US Embassy move to Jerusalem
"Palestinian Christians issue a cry for hope, to end 'exclusivity and apartheid'",,Mondoweiss,US Embassy move to Jerusalem
US Palestinians release list of 2020 principles for 'a political world that too often ignores our voices',,Mondoweiss,US Embassy move to Jerusalem
"Trump has a 'magic moment' in June 2017 to move the US embassy to Jerusalem, Israel lobbyist tells NY synagogue",,Mondoweiss,US Embassy move to Jerusalem
"Sanders calls Netanyahu a 'reactionary racist', says he'll consider moving US embassy back to Tel Aviv",,Mondoweiss,US Embassy move to Jerusalem
